Date,Close/Last,Volume,Open,High,Low
07/01/2023,30505.00,N/A,30424.40,30650.10,30481.50
06/30/2023,30393.80,N/A,30664.00,30530.60,30377.60
06/29/2023,30722.20,N/A,30175.20,30858.10,30354.60
06/28/2023,30151.90,N/A,30453.50,30243.80,30051.30
06/27/2023,30460.80,N/A,30371.60,30703.40,30362.50
06/26/2023,30370.10,N/A,30299.50,30485.70,30231.30
06/25/2023,30285.50,N/A,30752.10,30543.10,30012.80
06/24/2023,30768.00,N/A,30749.20,30768.00,30474.10
06/23/2023,30742.50,N/A,30010.70,30793.80,30434.30
06/22/2023,30013.60,N/A,30296.30,30046.60,29822.60
06/21/2023,30299.30,N/A,28710.40,30497.80,29899.00
06/20/2023,28724.60,N/A,26893.10,28985.50,28270.50
06/19/2023,26915.90,N/A,26391.30,27152.70,26798.70
06/18/2023,26411.30,N/A,26546.10,26465.90,26295.10
06/17/2023,26539.80,N/A,26258.40,26543.00,26410.50
06/16/2023,26262.80,N/A,25559.30,26362.70,26183.50
06/15/2023,25564.20,N/A,25061.90,25591.90,25451.40
06/14/2023,25083.10,N/A,25987.00,25205.70,25040.90
06/13/2023,25982.20,N/A,26058.40,26051.20,25914.10
06/12/2023,26083.80,N/A,25795.00,26138.60,25824.00
06/11/2023,25796.60,N/A,25730.40,26006.00,25635.00
06/10/2023,25742.60,N/A,26329.80,25862.30,25728.20
06/09/2023,26336.10,N/A,26490.70,26525.10,26298.90
06/08/2023,26495.30,N/A,26341.50,26592.00,26326.70
06/07/2023,26298.40,N/A,26909.20,26470.60,26231.30
06/06/2023,26892.50,N/A,25733.00,27342.00,26730.60
06/05/2023,25729.80,N/A,26845.40,25791.00,25611.10
06/04/2023,26859.90,N/A,27062.30,27125.50,26817.40
06/03/2023,27062.60,N/A,27146.20,27096.70,26956.10
06/02/2023,27141.60,N/A,27007.50,27246.00,27114.00
06/01/2023,26943.20,N/A,26781.70,26980.00,26541.30
05/31/2023,26777.90,N/A,27658.30,27340.90,26662.30
05/30/2023,27689.80,N/A,27835.50,27825.00,27606.60
05/29/2023,27830.70,N/A,27972.80,27925.70,27605.50
05/28/2023,28060.60,N/A,27188.40,28431.20,28057.80
05/27/2023,27161.90,N/A,26754.60,27172.40,26788.50
05/26/2023,26765.40,N/A,26436.60,26775.20,26639.00
05/25/2023,26438.00,N/A,26186.90,26534.70,26384.40
05/24/2023,26192.60,N/A,26785.50,26381.80,25892.50
05/23/2023,26759.10,N/A,27371.10,27220.70,26686.40
05/22/2023,27381.40,N/A,26645.80,27414.30,26804.10
05/21/2023,26650.70,N/A,27178.10,26780.70,26546.10
05/20/2023,27193.00,N/A,26867.70,27257.10,27066.50
05/19/2023,26867.40,N/A,26802.90,26899.30,26831.30
05/18/2023,26839.20,N/A,27352.90,26914.80,26751.20
05/17/2023,27358.60,N/A,27073.20,27467.00,27296.50
05/16/2023,27102.30,N/A,27083.00,27215.10,26984.10
05/15/2023,27115.50,N/A,27168.10,27295.30,26881.90
05/14/2023,27232.40,N/A,26868.00,27284.30,26752.10
05/13/2023,26845.80,N/A,26783.50,26850.60,26609.90
05/12/2023,26823.70,N/A,26636.60,26974.00,26695.60
05/11/2023,26615.00,N/A,27445.00,27044.00,26559.20
05/10/2023,27451.80,N/A,27691.00,27607.40,27402.70
05/09/2023,27692.20,N/A,27639.50,27808.40,27627.20
05/08/2023,27592.70,N/A,28203.90,27745.60,27552.90
05/07/2023,28184.00,N/A,28806.30,28627.80,28056.20
05/06/2023,28811.30,N/A,29357.30,29122.00,28754.80
05/05/2023,29357.60,N/A,29197.30,29816.40,29353.10
05/04/2023,29179.90,N/A,29100.20,29490.50,28825.30
05/03/2023,29027.60,N/A,28525.80,29187.00,28956.00
05/02/2023,28536.40,N/A,28040.20,28682.70,28370.30
05/01/2023,28020.70,N/A,28563.20,28142.70,27928.20
04/30/2023,28560.90,N/A,29179.80,29329.60,28432.60
04/29/2023,29193.70,N/A,29367.60,29235.10,29095.00
04/28/2023,29367.80,N/A,29420.10,29400.80,29217.40
04/27/2023,29405.00,N/A,28875.00,29587.10,29334.20
04/26/2023,29030.00,N/A,28311.60,29414.00,28392.40
04/25/2023,28336.50,N/A,27390.10,28460.30,28258.50
04/24/2023,27344.50,N/A,27734.50,27576.20,27332.70
04/23/2023,27746.20,N/A,27601.10,27978.80,27434.00
04/22/2023,27556.20,N/A,27234.70,27815.00,27492.10
